"species","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g"
"Adelie",40.3,18,195,3250
"Gentoo",43.6,13.9,217,4900
"Adelie",35.7,16.9,185,3150
"Adelie",36.5,18,182,3150
"Adelie",38.7,19,195,3450
"Adelie",39.6,17.7,186,3500
"Chinstrap",46.1,18.2,178,3250
"Adelie",37.3,17.8,191,3350
"Chinstrap",50.2,18.7,198,3775
"Gentoo",45.8,14.6,210,4200
"Adelie",35.9,16.6,190,3050
"Chinstrap",40.9,16.6,187,3200
"Gentoo",46.5,13.5,210,4550
"Gentoo",46.5,14.8,217,5200
"Adelie",37.9,18.6,193,2925
"Adelie",36.7,19.3,193,3450
"Gentoo",46.2,14.5,209,4800
"Adelie",35.7,18,202,3550
"Adelie",36.2,17.2,187,3150
"Adelie",39,17.1,191,3050
"Adelie",32.1,15.5,188,3050
"Gentoo",48.2,14.3,210,4600
"Adelie",39.6,20.7,191,3900
"Adelie",34.5,18.1,187,2900
"Adelie",39.5,17.4,186,3800
"Gentoo",45.3,13.8,208,4200
"Chinstrap",46.6,17.8,193,3800
"Adelie",35,17.9,190,3450
"Chinstrap",45.6,19.4,194,3525
"Adelie",37.6,17,185,3600
"Adelie",36.6,17.8,185,3700
"Adelie",38.1,17,181,3175
"Adelie",41.1,17.6,182,3200
"Adelie",36,17.9,190,3450
"Adelie",36.8,18.5,193,3500
"Adelie",35.6,17.5,191,3175
